User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1
U00001,Aisha Patel,P6141,Female,55+,42,Single,Riyadh,South,Teacher,Electronics,5,18329,,
U00002,Michael Garcia,P4053,Female,55+,53,Single,California,West,Teacher,Groceries,7,13443,,
U00003,David Garcia,P7649,Male,18-25,33,Single,Riyadh,East,Developer,Furniture,9,20484,,
U00004,Ali Martinez,P1246,Male,26-35,20,Married,Dammam,South,Analyst,Furniture,8,15228,,
U00005,Daniel Wilson,P7629,Female,55+,55,Married,Medina,South,Student,Beauty,4,6385,,
U00006,Ahmed Ahmed,P6865,Female,26-35,33,Married,Delhi,West,Sales,Beauty,3,32098,,
U00007,John Garcia,P2226,Female,36-45,49,Married,Texas,South,Student,Clothing,4,30728,,
U00008,Sara Garcia,P3255,Female,46-55,60,Married,Riyadh,East,Manager,Clothing,10,10574,,
U00009,Ali Martinez,P8965,Male,36-45,56,Married,Dammam,Central,Accountant,Furniture,5,37787,,
U00010,Michael Wilson,P6729,Male,55+,39,Married,Mumbai,East,Manager,Furniture,5,6020,,
U00011,Olivia Brown,P7456,Male,46-55,27,Married,Texas,Central,Teacher,Clothing,10,6800,,
U00012,David Martinez,P4467,Male,26-35,60,Single,Dammam,North,Developer,Electronics,8,15192,,
U00013,John Lee,P2034,Female,26-35,38,Single,New York,West,Engineer,Sports,9,19903,,
U00014,Emily Martinez,P5457,Male,46-55,32,Single,California,West,Developer,Clothing,9,36589,,
U00015,Aisha Martinez,P5848,Male,55+,49,Single,Mumbai,Central,Accountant,Beauty,1,5823,,
U00016,Michael Garcia,P1897,Female,36-45,45,Married,Delhi,North,Manager,Clothing,9,43827,,
U00017,David Wilson,P5364,Male,26-35,54,Married,Jeddah,North,Teacher,Furniture,9,46752,,
U00018,John Brown,P2261,Male,46-55,32,Married,Medina,East,Developer,Electronics,9,38340,,
U00019,Sara Khan,P3757,Male,36-45,34,Single,Riyadh,East,Accountant,Furniture,8,24255,,
U00020,Ahmed Patel,P3066,Female,26-35,50,Married,Mumbai,West,Teacher,Sports,7,33936,,
U00021,Olivia Patel,P7075,Male,36-45,33,Married,Texas,Central,Engineer,Electronics,1,6435,,
U00022,John Wilson,P2826,Female,46-55,40,Single,Makkah,East,Sales,Groceries,8,44167,,
U00023,Sara Wilson,P2793,Male,18-25,22,Single,New York,Central,Accountant,Groceries,7,35493,,
U00024,Olivia Garcia,P7885,Male,46-55,45,Single,Riyadh,North,Teacher,Clothing,7,48425,,
U00025,Daniel Ahmed,P6903,Male,55+,24,Single,Texas,South,Teacher,Clothing,1,4010,,
U00026,John Garcia,P3201,Male,26-35,52,Married,New York,West,Developer,Electronics,2,24219,,
U00027,Sara Johnson,P9478,Female,36-45,42,Single,Makkah,West,Analyst,Electronics,3,31684,,
U00028,Daniel Brown,P8909,Female,18-25,32,Single,New York,West,Sales,Groceries,8,21918,,
U00029,Daniel Patel,P7351,Male,46-55,23,Married,Delhi,East,Student,Sports,8,42930,,
U00030,Ahmed Brown,P3463,Female,36-45,24,Married,Delhi,West,Engineer,Sports,1,3371,,
U00031,Ahmed Lee,P7553,Female,46-55,44,Single,Medina,Central,Sales,Beauty,3,26182,,
U00032,Sophia Martinez,P1548,Male,18-25,20,Married,California,South,Analyst,Electronics,6,13844,,
U00033,Aisha Ahmed,P4291,Female,18-25,28,Single,Makkah,North,Teacher,Clothing,10,12835,,
U00034,Ali Smith,P2610,Female,18-25,40,Single,Jeddah,West,Analyst,Groceries,6,9946,,
U00035,John Khan,P8045,Female,18-25,29,Single,Mumbai,West,Manager,Furniture,3,26212,,
U00036,Ahmed Brown,P8669,Male,55+,26,Single,Medina,West,Manager,Furniture,4,31362,,
U00037,David Brown,P6597,Male,26-35,45,Married,Texas,Central,Manager,Electronics,2,46625,,
U00038,David Johnson,P5317,Female,36-45,19,Single,Dammam,North,Analyst,Clothing,2,12295,,
U00039,John Patel,P6979,Female,18-25,51,Married,Delhi,West,Accountant,Furniture,4,27971,,
U00040,Ahmed Patel,P5083,Male,55+,55,Married,Dammam,West,Developer,Electronics,7,12129,,
U00041,Ali Johnson,P6183,Female,55+,35,Single,Makkah,East,Student,Sports,3,11937,,
U00042,Ali Wilson,P7967,Female,46-55,40,Single,Medina,North,Student,Beauty,7,37432,,
U00043,Ali Garcia,P6352,Male,46-55,54,Single,Delhi,South,Student,Clothing,6,40171,,
U00044,John Lee,P5993,Female,26-35,27,Married,Riyadh,East,Accountant,Clothing,2,2991,,
U00045,Olivia Wilson,P9163,Male,36-45,52,Single,Riyadh,East,Accountant,Groceries,8,18439,,
U00046,John Smith,P9781,Male,18-25,50,Married,Makkah,South,Teacher,Groceries,6,30366,,
U00047,Olivia Ahmed,P4574,Female,46-55,28,Single,Riyadh,Central,Student,Clothing,10,9912,,
U00048,Aisha Martinez,P8706,Female,18-25,21,Single,Makkah,North,Analyst,Beauty,5,23816,,
U00049,Emily Smith,P9572,Female,26-35,42,Single,Makkah,Central,Teacher,Beauty,5,33728,,
U00050,Sara Brown,P7253,Male,18-25,43,Married,Mumbai,South,Accountant,Clothing,4,31322,,
U00051,Ahmed Martinez,P7394,Male,55+,49,Married,California,West,Engineer,Groceries,5,34996,,
U00052,Ahmed Wilson,P6663,Female,36-45,60,Single,Mumbai,East,Teacher,Sports,4,11191,,
U00053,Aisha Patel,P8691,Female,46-55,29,Married,Mumbai,Central,Student,Beauty,10,11739,,
U00054,Emily Ahmed,P9024,Male,55+,22,Married,Makkah,Central,Accountant,Groceries,8,23627,,
U00055,Aisha Ahmed,P9905,Male,55+,40,Single,California,North,Engineer,Electronics,3,41495,,
U00056,Aisha Garcia,P5509,Male,46-55,20,Single,California,Central,Sales,Electronics,5,49761,,
U00057,Mohammed Patel,P9372,Female,18-25,27,Single,Dammam,East,Manager,Groceries,5,5517,,
U00058,Ali Garcia,P3228,Male,18-25,32,Married,New York,Central,Analyst,Furniture,3,22489,,
U00059,Daniel Khan,P2197,Male,36-45,38,Married,Makkah,South,Student,Sports,2,15427,,
U00060,David Patel,P7649,Male,46-55,27,Married,California,North,Sales,Beauty,4,48961,,
U00061,John Johnson,P6647,Female,18-25,18,Married,New York,Central,Engineer,Electronics,8,18215,,
U00062,Emily Lee,P4789,Male,18-25,39,Single,Texas,Central,Analyst,Groceries,6,15466,,
U00063,Ahmed Brown,P3687,Female,46-55,52,Married,Mumbai,East,Accountant,Sports,1,22984,,
U00064,Sara Patel,P3994,Female,55+,18,Married,Riyadh,East,Analyst,Clothing,5,38697,,
U00065,Daniel Johnson,P8035,Female,18-25,46,Married,Riyadh,Central,Developer,Beauty,5,27197,,
U00066,Michael Lee,P1287,Male,55+,42,Single,New York,North,Sales,Groceries,5,43566,,
U00067,Sophia Johnson,P5576,Female,26-35,26,Married,California,East,Manager,Groceries,1,12588,,
U00068,Ali Lee,P8750,Male,55+,60,Married,New York,East,Engineer,Sports,8,33400,,
